AÑO;DISTRITO;BARRIO;Censo electoral;Abstención;Votos nulos;Votos blancos;Votos a candidaturas;PP;PSOE;Cs;MAS MADRID;VOX;PODEMOS-IU;Resto de candidaturas
2017;06. Tetuán;062. Cuatro Caminos;26,071;7,605;65;84;18,317;5,996;3,53;4,003;2,083;1,946;588;171
2017;06. Tetuán;063. Castillejos;15,687;4,538;34;52;11,063;3,858;1,913;2,435;1,142;1,304;302;109
2017;06. Tetuán;064. Almenara;16,77;6,769;58;40;9,903;2,019;2,693;1,696;1,802;900;660;133
2017;06. Tetuán;065. Valdeacederas;17,265;6,857;54;57;10,297;1,754;3,015;1,874;2,103;777;640;134
2017;06. Tetuán;066. Berruguete;16,393;6,118;49;44;10,182;2,17;2,883;1,735;1,911;844;543;96
2017;07. Chamberí;07. Chamberí;;;;;;;;;;;;
2017;07. Chamberí;07. Chamberí;109,198;27,737;214;352;80,895;27,059;15,566;16,914;10,243;8,004;2,509;600
2017;07. Chamberí;071. Gaztambide;18,241;4,788;47;58;13,348;4,324;2,71;2,612;1,79;1,338;470;104
2017;07. Chamberí;072. Arapiles;19,238;5,058;47;71;14,062;4,011;3,17;2,873;2,179;1,187;518;124
2017;07. Chamberí;073. Trafalgar;19,03;5,211;30;67;13,722;3,727;3,061;2,812;2,299;1,112;601;110
2017;07. Chamberí;074. Almagro;14,95;3,65;15;43;11,242;4,916;1,672;2,262;828;1,315;189;60
2017;07. Chamberí;075. Ríos Rosas;21,354;5,481;46;69;15,758;5,146;3,017;3,568;1,915;1,536;463;113
2017;07. Chamberí;076. Vallehermoso;16,385;3,549;29;44;12,763;4,935;1,936;2,787;1,232;1,516;268;89
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;;;;;;;;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;181,567;48,514;423;574;132,056;35,676;30,228;30,886;16,202;12,978;4,907;1,179
2017;08. Fuencarral-El Pardo;081. El Pardo;2,893;956;11;6;1,92;559;350;389;179;347;69;27
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;2,451;511;2;3;1,935;1,002;189;405;50;249;28;12
2017;08. Fuencarral-El Pardo;083. Peñagrande;35,212;9,458;90;109;25,555;6,608;6,632;5,421;3,553;2,081;1,046;214
2017;08. Fuencarral-El Pardo;084. Pilar;36,618;11,747;135;123;24,613;6,029;7,02;4,475;3,63;1,877;1,302;280
2017;08. Fuencarral-El Pardo;085. La Paz;28,209;6,059;52;95;22,003;6,908;5,026;5,115;2,262;1,956;576;160
2017;08. Fuencarral-El Pardo;086. Valverde;41,115;12,269;84;119;28,643;6,125;6,599;7,631;4,035;2,758;1,188;307
2017;08. Fuencarral-El Pardo;087. Mirasierra;23,783;4,825;36;86;18,836;6,15;3,02;4,915;1,625;2,516;489;121
2017;08. Fuencarral-El Pardo;088. El Goloso;11,286;2,689;13;33;8,551;2,295;1,392;2,535;868;1,194;209;58
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;89,612;22,231;183;287;66,911;21,273;13,611;13,65;8,659;6,723;2,381;614
2017;09. Moncloa-Aravaca;091. Casa de Campo;10,54;2,667;30;33;7,81;1,882;1,937;1,45;1,503;584;350;104
2017;09. Moncloa-Aravaca;092. Argüelles;18,863;4,896;30;50;13,887;4,719;2,6;2,658;1,819;1,557;406;128
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;12,551;2,834;28;43;9,646;3,414;1,729;2,135;984;970;324;90
2017;09. Moncloa-Aravaca;094. Valdezarza;22,887;6,652;59;93;16,083;3,576;4,672;3,017;2,681;1,063;888;186
2017;09. Moncloa-Aravaca;095. Valdemarín;4,205;851;5;3;3,346;1,648;221;808;65;562;20;22
2017;09. Moncloa-Aravaca;096. El Plantío;1,958;449;4;2;1,503;698;146;315;80;236;23;5
2017;09. Moncloa-Aravaca;097. Aravaca;18,608;3,882;27;63;14,636;5,336;2,306;3,267;1,527;1,751;370;79
2017;10. Latina;10. Latina;;;;;;;;;;;;
2017;10. Latina;10. Latina;174,309;57,746;538;450;115,575;26,496;33,493;18,895;19,597;8,811;6,825;1,458
2017;10. Latina;101. Los Cármenes;12,507;4,595;32;24;7,856;1,353;2,406;1,287;1,621;607;502;80
2017;10. Latina;102. Puerta del Ángel;29,419;11,053;79;66;18,221;3,909;5,185;2,784;3,539;1,273;1,259;272
2017;10. Latina;103. Lucero;25,877;8,96;81;67;16,769;3,823;4,799;2,78;2,934;1,078;1,169;186
2017;10. Latina;104. Aluche;49,2;15,588;147;139;33,326;8,546;9,743;5,347;5,167;2,372;1,745;406
2017;10. Latina;105. Campamento;13,509;4,19;54;43;9,222;2,712;2,011;1,643;1,238;1,092;396;130
2017;10. Latina;106. Cuatro Vientos;4,001;1,277;11;5;2,708;344;734;698;514;231;151;36
2017;10. Latina;107. Águilas;39,796;12,083;134;106;27,473;5,809;8,615;4,356;4,584;2,158;1,603;348
2017;11. Carabanchel;11. Carabanchel;;;;;;;;;;;;
2017;11. Carabanchel;11. Carabanchel;171,295;65,687;502;491;104,615;21,028;31,888;17,12;18,932;7,9;6,415;1,332
2017;11. Carabanchel;111. Comillas;16,262;5,928;52;48;10,234;2,28;2,926;1,627;1,862;792;648;99
2017;11. Carabanchel;112. Opañel;22,769;8,444;58;55;14,212;3,067;4,18;2,287;2,68;1,035;785;178
